Titulo;Descrição;Data Inicio;Data Fim;Categoria;dias uteis;dia da semana
Entrega Desenhos Noven Verão 27;Entrega dos desenhos Noven Verão 27. Em torno de 80% dos desenhos devem ser entregues na data inicial.;2025-08-11 00:00:00;2026-02-04 23:59:59;"Noven; Verão 27; Desenvolvimento; Estilo";108;2
Modelagem Noven Verão 27;Modelagem dos desenhos da Noven Verão 27. A data inicial é uma previsão, e a data final é um limite.;2025-08-18 00:00:00;2026-02-11 23:59:59;"Noven; Verão 27; Desenvolvimento; Modelagem";108;2
Pilotagem Noven Verão 27;Pilotagem das peças da Noven Verão 27. A data inicial é uma previsão, e a data final é um limite.;2025-08-25 00:00:00;2026-02-24 23:59:59;"Noven; Verão 27; Desenvolvimento; Pilotagem";108;2
Lavanderia Pilotos Noven Verão 27;Lavanderia das peças piloto da Noven Verão 27. A data inicial é uma previsão, e a data final é um limite.;2025-09-01 00:00:00;2026-03-03 23:59:59;"Noven; Verão 27; Desenvolvimento; Lavanderia";108;2
Acabamento Pilotos Noven Verão 27;Acabamento das peças piloto da Noven Verão 27. A data inicial é uma previsão, e a data final é um limite.;2025-09-08 00:00:00;2026-03-10 23:59:59;"Noven; Verão 27; Desenvolvimento; Acabamento";108;2
Primeira Banca Noven Verão 27;Banca das peças piloto da Noven Verão 27;2025-10-14 00:00:00;2025-10-14 23:59:59;"Noven; Verão 27; Desenvolvimento; PCP; Estilo; Lavanderia";1;3
Segunda Banca Noven Verão 27;Banca das peças piloto da Noven Verão 27;2026-01-13 00:00:00;2026-01-13 23:59:59;"Noven; Verão 27; Desenvolvimento; PCP; Estilo; Lavanderia";1;3
Última Banca Noven Verão 27;Banca das peças piloto da Noven Verão 27;2026-03-24 00:00:00;2026-03-24 23:59:59;"Noven; Verão 27; Desenvolvimento; PCP; Estilo; Lavanderia";1;3
Fotos Noven Verão 27;Fotos da Noven Verão 27;2026-05-25 00:00:00;2026-05-25 23:59:59;"Noven; Verão 27; PCP; Estilo; Expedição";1;2
Liberação Lacre Vermelho Noven Verão 27 (Grupo 07);Liberação das peças de lacre vermelho da Noven Verão 27 grupo 07. A data inicial é uma previsão, e a data final é um limite.;2025-10-21 00:00:00;2026-02-12 23:59:59;"Noven; Verão 27; Desenvolvimento; PCP; Produção";63;3
Corte Grupo 07 Noven Verão 27;"Corte Grupo 07 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-02-02 00:00:00;2026-03-11 23:59:59;"Noven; Verão 27; Desenvolvimento; Produção; Corte";24;2
Costura Jeans Grupo 07 Noven Verão 27;"Costura Jeans Grupo 07 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-03-20 00:00:00;2026-04-24 23:59:59;"Noven; Verão 27; Produção; Costura; Jeans";24;6
Costura Moda Jeans Grupo 07 Noven Verão 27;"Costura Moda Jeans Grupo 07 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-03-20 00:00:00;2026-04-24 23:59:59;"Noven; Verão 27; Produção; Costura; Moda Jeans";24;6
Costura Moda Grupo 07 Noven Verão 27;"Costura Moda Grupo 07 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-03-20 00:00:00;2026-05-25 23:59:59;"Noven; Verão 27; Produção; Costura; Moda Jeans";44;6
Lavanderia Grupo 07 Noven Verão 27;"Lavanderia Grupo 07 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-04-22 00:00:00;2026-05-25 23:59:59;"Noven; Verão 27; Produção; Lavanderia; Jeans; Moda Jeans";23;4
Acabamento Grupo 07 Noven Verão 27;"Acabamento Grupo 07 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-05-20 00:00:00;2026-06-23 23:59:59;"Noven; Verão 27; Produção; Acabamento;";24;4
Expedição Grupo 07 Noven Verão 27;"Expedição Grupo 07 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-07-01 00:00:00;2026-07-02 23:59:59;"Noven; Verão 27; Produção; Expedição";2;4
Liberação Lacre Vermelho Noven Verão 27 (Grupo 08);Liberação das peças de lacre vermelho da Noven Verão 27 grupo 08. A data inicial é uma previsão, e a data final é um limite.;2025-10-21 00:00:00;2026-03-23 23:59:59;"Noven; Verão 27; Desenvolvimento; PCP; Produção";86;3
Corte Grupo 08 Noven Verão 27;"Corte Grupo 08 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-03-12 00:00:00;2026-04-14 23:59:59;"Noven; Verão 27; Desenvolvimento; Produção; Corte";23;5
Costura Jeans Grupo 08 Noven Verão 27;"Costura Jeans Grupo 08 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-04-27 00:00:00;2026-05-27 23:59:59;"Noven; Verão 27; Produção; Costura; Jeans";22;2
Costura Moda Jeans Grupo 08 Noven Verão 27;"Costura Moda Jeans Grupo 08 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-04-27 00:00:00;2026-05-27 23:59:59;"Noven; Verão 27; Produção; Costura; Moda Jeans";22;2
Costura Moda Grupo 08 Noven Verão 27;"Costura Moda Grupo 08 Noven Verão 27; A data inicial é uma previsão, e a data final é um limite.";2026-04-27 00:00:00;2026-06-24 23:59:59;"Noven; Verão 27; Produção; Costura; Moda Jeans";41;2
