Titulo;Descrição;Data Inicio;Data Fim;dias uteis;dia da semanha;Marca;Colecao;Setor;Categoria
Entrega Desenhos Noven Verão 27;"Entrega dos desenhos Noven Verão 27. Em torno de 80% dos desenhos devem ser entregues na data inicial.; Noven; Verão 27; Estilo; Desenvolvimento";2025-08-11 00:00:00;2025-08-11 23:59:59;1;2;Noven;Verão 27;Estilo;Desenvolvimento
Limite Entrega Desenhos Noven Verão 27;"Entrega dos desenhos Noven Verão 27. Em torno de 80% dos desenhos devem ser entregues na data inicial.; Noven; Verão 27; Estilo; Desenvolvimento";2026-02-04 00:00:00;2026-02-04 23:59:59;1;2;Noven;Verão 27;Estilo;Desenvolvimento
Modelagem Noven Verão 27;"Modelagem dos desenhos da Noven Verão 27; Noven; Verão 27; Modelagem; Desenvolvimento";2026-02-11 00:00:00;2026-02-11 23:59:59;1;2;Noven;Verão 27;Modelagem;Desenvolvimento
Pilotagem Noven Verão 27;"Pilotagem das peças da Noven Verão 27; Noven; Verão 27; Pilotagem; Desenvolvimento";2026-02-24 00:00:00;2026-02-24 23:59:59;1;2;Noven;Verão 27;Pilotagem;Desenvolvimento
Lavanderia Pilotos Noven Verão 27;"Lavanderia das peças piloto da Noven Verão 27; Noven; Verão 27; Lavanderia Dsv.; Desenvolvimento";2026-03-03 00:00:00;2026-03-03 23:59:59;1;2;Noven;Verão 27;Lavanderia Dsv.;Desenvolvimento
Acabamento Pilotos Noven Verão 27;"Acabamento das peças piloto da Noven Verão 27; Noven; Verão 27; Acabamento Dsv.; Desenvolvimento";2026-03-10 00:00:00;2026-03-10 23:59:59;1;2;Noven;Verão 27;Acabamento Dsv.;Desenvolvimento
Primeira Banca Noven Verão 27;"Banca das peças piloto da Noven Verão 27; Noven; Verão 27; Banca; Desenvolvimento";2025-10-14 00:00:00;2025-10-14 23:59:59;1;3;Noven;Verão 27;Banca;Desenvolvimento
Segunda Banca Noven Verão 27;"Banca das peças piloto da Noven Verão 27; Noven; Verão 27; Banca; Desenvolvimento";2026-01-13 00:00:00;2026-01-13 23:59:59;1;3;Noven;Verão 27;Banca;Desenvolvimento
Última Banca Noven Verão 27;"Banca das peças piloto da Noven Verão 27; Noven; Verão 27; Banca; Desenvolvimento";2026-03-24 00:00:00;2026-03-24 23:59:59;1;3;Noven;Verão 27;Banca;Desenvolvimento
Fotos Noven Verão 27;"Fotos da Noven Verão 27; Noven; Verão 27; Marketing; Desenvolvimento";2026-06-02 00:00:00;2026-06-02 23:59:59;1;2;Noven;Verão 27;Marketing;Desenvolvimento
Liberação Lacre Vermelho Noven Verão 27 (Grupo 07);"Liberação das peças de lacre vermelho da Noven Verão 27 grupo 07; Noven; Verão 27; PCP; Desenvolvimento";2026-02-12 00:00:00;2026-02-12 23:59:59;1;3;Noven;Verão 27;PCP;Desenvolvimento
Corte Grupo 07 Noven Verão 27;"Corte Grupo 07 Noven Verão 27; Noven; Verão 27; Corte; Produção";2026-03-11 00:00:00;2026-03-11 23:59:59;1;2;Noven;Verão 27;Corte;Produção
Costura Jeans Grupo 07 Noven Verão 27;"Costura Jeans Grupo 07 Noven Verão 27; Noven; Verão 27; Costura; Produção";2026-05-11 00:00:00;2026-05-11 23:59:59;1;6;Noven;Verão 27;Costura;Produção
Costura Moda Jeans Grupo 07 Noven Verão 27;"Costura Moda Jeans Grupo 07 Noven Verão 27; Noven; Verão 27; Costura; Produção";2026-05-11 00:00:00;2026-05-11 23:59:59;1;6;Noven;Verão 27;Costura;Produção
Costura Moda Grupo 07 Noven Verão 27;"Costura Moda Grupo 07 Noven Verão 27; Noven; Verão 27; Costura; Produção";2026-06-09 00:00:00;2026-06-09 23:59:59;1;6;Noven;Verão 27;Costura;Produção
Lavanderia Grupo 07 Noven Verão 27;"Lavanderia Grupo 07 Noven Verão 27; Noven; Verão 27; Lavanderia; Produção";2026-06-09 00:00:00;2026-06-09 23:59:59;1;4;Noven;Verão 27;Lavanderia;Produção
Acabamento Grupo 07 Noven Verão 27;"Acabamento Grupo 07 Noven Verão 27; Noven; Verão 27; Acabamento; Produção";2026-07-07 00:00:00;2026-07-07 23:59:59;1;4;Noven;Verão 27;Acabamento;Produção
Expedição Grupo 07 Noven Verão 27;"Expedição Grupo 07 Noven Verão 27; Noven; Verão 27; Expedição; Produção";2026-07-16 00:00:00;2026-07-16 23:59:59;1;4;Noven;Verão 27;Expedição;Produção
Lançamento Noven Grupo 07;"Lançamento no showroom da Noven Grupo 07; Noven; Verão 27; Comercial; Produto Acabado";2026-07-14 00:00:00;2026-07-14 23:59:59;1;3;Noven;Verão 27;Comercial;Produto Acabado
