Titulo;Descrição;Data Inicio;Data Fim;Categoria;dias uteis;dia da semana;coleção;CAT
Entrega Desenhos Patoge Inverno 26 (Grupo 04 e 05);Entrega dos desenhos Patoge Inverno 26. Em torno de 80% dos desenhos devem ser entregues na data inicial.;2025-06-09 00:00:00;2025-07-01 23:59:59;"Patoge; Inverno 26; Desenvolvimento; Estilo";16;2;Ptg Inv 26 - 2ª entrega;DESENVOLVIMENTO
Modelagem Patoge Inverno 26 (Grupo 04 e 05);Modelagem dos desenhos da Patoge Inverno 26. A data inicial é uma previsão, e a data final é um limite.;2025-06-16 00:00:00;2025-07-08 23:59:59;"Patoge; Inverno 26; Desenvolvimento; Modelagem";16;2;Ptg Inv 26 - 2ª entrega;DESENVOLVIMENTO
Pilotagem Patoge Inverno 26 (Grupo 04 e 05);Pilotagem das peças da Patoge Inverno 26. A data inicial é uma previsão, e a data final é um limite.;2025-06-24 00:00:00;2025-07-15 23:59:59;"Patoge; Inverno 26; Desenvolvimento; Pilotagem";16;3;Ptg Inv 26 - 2ª entrega;DESENVOLVIMENTO
Lavanderia Pilotos Patoge Inverno 26 (Grupo 04 e 05);Lavanderia das peças piloto da Patoge Inverno 26. A data inicial é uma previsão, e a data final é um limite.;2025-07-01 00:00:00;2025-07-22 23:59:59;"Patoge; Inverno 26; Desenvolvimento; Lavanderia";16;3;Ptg Inv 26 - 2ª entrega;DESENVOLVIMENTO
Acabamento Pilotos Patoge Inverno 26 (Grupo 04 e 05);Acabamento das peças piloto da Patoge Inverno 26. A data inicial é uma previsão, e a data final é um limite.;2025-07-08 00:00:00;2025-07-29 23:59:59;"Patoge; Inverno 26; Desenvolvimento; Acabamento";16;3;Ptg Inv 26 - 2ª entrega;DESENVOLVIMENTO
Primeira Banca Patoge Inverno 26 1ª entrega (Grupo 04);Banca das peças piloto da Patoge Inverno 26 1ª entrega, preferencialmente todas as peças do Grupo 04;2025-08-05 00:00:00;2025-08-05 23:59:59;"Patoge; Inverno 26; Desenvolvimento; PCP; Estilo; Lavanderia";1;3;Ptg Inv 26 - 2ª entrega;DESENVOLVIMENTO
Última Banca Patoge Inverno 26 1ª entrega (Grupo 05);Banca das peças piloto da Patoge Inverno 26 1ª entrega, preferencialmente todas as peças do Grupo 05;2025-08-26 00:00:00;2025-08-26 23:59:59;"Patoge; Inverno 26; Desenvolvimento; PCP; Estilo; Lavanderia";1;3;Ptg Inv 26 - 2ª entrega;DESENVOLVIMENTO
Liberação Mostruário Patoge Inverno 26 (Grupo 04 e 05);Liberação das peças de mostruário da Patoge Inverno 26 Grupo 04 e 05. A data inicial é uma previsão, e a data final é um limite.;2025-08-12 00:00:00;2025-11-03 23:59:59;"Patoge; Inverno 26; Desenvolvimento; PCP; Mostruário";60;3;Ptg Inv 26 - 2ª entrega;DESENVOLVIMENTO
Corte Mostruário 2ª entrega Patoge Inverno 26;"Corte Mostruário 2ª entrega Patoge Inverno 26; A data inicial é uma previsão, e a data final é um limite.";2025-08-19 00:00:00;2025-11-10 23:59:59;"Patoge; Inverno 26; Mostruário; Corte";60;3;Ptg Inv 26 - 2ª entrega;MOSTRUÁRIO
Costura Mostruário 2ª entrega Patoge Inverno 26;"Costura Jeans Mostruário 2ª entrega Patoge Inverno 26; A data inicial é uma previsão, e a data final é um limite.";2025-08-26 00:00:00;2025-11-17 23:59:59;"Patoge; Inverno 26; Mostruário; Costura";60;3;Ptg Inv 26 - 2ª entrega;MOSTRUÁRIO
Lavanderia Mostruário 2ª entrega Patoge Inverno 26;"Lavanderia Mostruário 2ª entrega Patoge Inverno 26; A data inicial é uma previsão, e a data final é um limite.";2025-09-02 00:00:00;2025-11-25 23:59:59;"Patoge; Inverno 26; Mostruário; Lavanderia";60;3;Ptg Inv 26 - 2ª entrega;MOSTRUÁRIO
Acabamento Mostruário 2ª entrega Patoge Inverno 26;"Acabamento Mostruário 2ª entrega Patoge Inverno 26; A data inicial é uma previsão, e a data final é um limite.";2025-09-09 00:00:00;2025-12-03 23:59:59;"Patoge; Inverno 26; Mostruário; Acabamento;";60;3;Ptg Inv 26 - 2ª entrega;MOSTRUÁRIO
Expedição Mostruário 2ª entrega Patoge Inverno 26;"Expedição Mostruário 2ª entrega Patoge Inverno 26; A data inicial é uma previsão, e a data final é um limite.";2025-12-12 00:00:00;2025-12-12 23:59:59;"Patoge; Inverno 26; Mostruário; Expedição";0;6;Ptg Inv 26 - 2ª entrega;MOSTRUÁRIO
Envio Mostruário 2ª entrega Patoge Inverno 26;Envio do Mostruário 2ª entrega Patoge Inverno 26 para os representantes;2026-01-19 00:00:00;2026-01-19 23:59:59;"Patoge; Inverno 26; Mostruário; Expedição";1;2;Ptg Inv 26 - 2ª entrega;MOSTRUÁRIO
Fotografia Mostruário 2ª entrega Patoge Inverno 26;Fotos do Mostruário 2ª entrega Patoge Inverno 26;2026-01-19 00:00:00;2026-01-21 23:59:59;"Patoge; Inverno 26; Mostruário; Expedição";3;2;Ptg Inv 26 - 2ª entrega;MOSTRUÁRIO
Lançamento Showroom 2ª entrega Patoge Inverno 26;Lançamento da 2ª entrega Patoge Inverno 26 no Showroom;2026-02-23 00:00:00;2026-02-23 23:59:59;"Patoge; Inverno 26; Mostruário; Expedição";1;2;Ptg Inv 26 - 2ª entrega;MOSTRUÁRIO
Liberação Lacre Vermelho Patoge Inverno 26 (Grupo 04);Liberação das peças de lacre vermelho da Patoge Inverno 26 Grupo 04. A data inicial é uma previsão, e a data final é um limite.;2025-08-12 00:00:00;2025-10-24 23:59:59;"Patoge; Inverno 26; Desenvolvimento; PCP; Produção";54;3;Ptg Inv 26 - 2ª entrega;DESENVOLVIMENTO
Expedição Grupo 04 Patoge Inverno 26;"Expedição Grupo 04 Patoge Inverno 26; A data inicial é uma previsão, e a data final é um limite.";2026-04-01 00:00:00;2026-04-02 23:59:59;"Patoge; Inverno 26; Produção; Expedição";2;4;Ptg Inv 26 - 2ª entrega;PRODUÇÃO
Liberação Lacre Vermelho Patoge Inverno 26 (Grupo 05);Liberação das peças de lacre vermelho da Patoge Inverno 26 Grupo 05. A data inicial é uma previsão, e a data final é um limite.;2025-09-02 00:00:00;2025-11-24 23:59:59;"Patoge; Inverno 26; Desenvolvimento; PCP; Produção";59;3;Ptg Inv 26 - 2ª entrega;DESENVOLVIMENTO
Expedição Grupo 05 Patoge Inverno 26;"Expedição Grupo 05 Patoge Inverno 26; A data inicial é uma previsão, e a data final é um limite.";2026-05-04 00:00:00;2026-05-05 23:59:59;"Patoge; Inverno 26; Produção; Expedição";2;2;Ptg Inv 26 - 2ª entrega;PRODUÇÃO
Entrega Desenhos Patogê Verão 27 (Grupo 7, 8 e 9);Entrega dos desenhos Patogê Verão 27. Em torno de 80% dos desenhos devem ser entregues na data inicial.;2025-09-08 00:00:00;2025-11-03 23:59:59;"Patogê; Verão 27; Desenvolvimento; Estilo";41;2;Ptg Ver 27 - 1ª entrega;DESENVOLVIMENTO
Modelagem Patogê Verão 27 (Grupo 7, 8 e 9);Modelagem dos desenhos da Patogê Verão 27. A data inicial é uma previsão, e a data final é um limite.;2025-09-15 00:00:00;2025-11-10 23:59:59;"Patogê; Verão 27; Desenvolvimento; Modelagem";41;2;Ptg Ver 27 - 1ª entrega;DESENVOLVIMENTO
Pilotagem Patogê Verão 27 (Grupo 7, 8 e 9);Pilotagem das peças da Patogê Verão 27. A data inicial é uma previsão, e a data final é um limite.;2025-09-22 00:00:00;2025-11-17 23:59:59;"Patogê; Verão 27; Desenvolvimento; Pilotagem";41;2;Ptg Ver 27 - 1ª entrega;DESENVOLVIMENTO
Lavanderia Pilotos Patogê Verão 27 (Grupo 7, 8 e 9);Lavanderia das peças piloto da Patogê Verão 27. A data inicial é uma previsão, e a data final é um limite.;2025-09-29 00:00:00;2025-11-25 23:59:59;"Patogê; Verão 27; Desenvolvimento; Lavanderia";41;2;Ptg Ver 27 - 1ª entrega;DESENVOLVIMENTO
Acabamento Pilotos Patogê Verão 27 (Grupo 7, 8 e 9);Acabamento das peças piloto da Patogê Verão 27. A data inicial é uma previsão, e a data final é um limite.;2025-10-06 00:00:00;2025-12-03 23:59:59;"Patogê; Verão 27; Desenvolvimento; Acabamento";41;2;Ptg Ver 27 - 1ª entrega;DESENVOLVIMENTO
Primeira Banca Patogê Verão 27 1ª entrega (Grupo 7);Banca das peças piloto da Patogê Verão 27 1ª entrega, preferencialmente todas as peças do grupo 7;2025-11-03 00:00:00;2025-11-03 23:59:59;"Patogê; Verão 27; Desenvolvimento; PCP; Estilo; Lavanderia";1;2;Ptg Ver 27 - 1ª entrega;DESENVOLVIMENTO
Segunda Banca Patogê Verão 27 1ª entrega (Grupo 8);Banca das peças piloto da Patogê Verão 27 1ª entrega, preferencialmente todas as peças do grupo 8;2025-11-25 00:00:00;2025-11-25 23:59:59;"Patogê; Verão 27; Desenvolvimento; PCP; Estilo; Lavanderia";1;3;Ptg Ver 27 - 1ª entrega;DESENVOLVIMENTO
Última Banca Patogê Verão 27 1ª entrega (Grupo 9);Banca das peças piloto da Patogê Verão 27 1ª entrega, preferencialmente todas as peças do grupo 9;2026-01-12 00:00:00;2026-01-12 23:59:59;"Patogê; Verão 27; Desenvolvimento; PCP; Estilo; Lavanderia";1;2;Ptg Ver 27 - 1ª entrega;DESENVOLVIMENTO
Liberação Mostruário Patogê Verão 27 (Grupo 7, 8 e 9);Liberação das peças de mostruário da Patogê Verão 27 grupo 07, 08 e 09. A data inicial é uma previsão, e a data final é um limite.;2025-11-10 00:00:00;2026-02-09 23:59:59;"Patogê; Verão 27; Desenvolvimento; PCP; Mostruário";46;2;Ptg Ver 27 - 1ª entrega;DESENVOLVIMENTO
