Titulo;Descrição;Data Inicio;Data Fim;Responsável Nome;Responsável E-mail;Categoria;
Entrega Desenhos Patoge Verão 27 (Grupo 7, 8 e 9);Entrega dos desenhos Patoge Verão 27. Em torno de 80% dos desenhos devem ser entregue na data inicial.;2025-09-08 00:00:00;2025-11-09 11:59:59;Raíssa Manso;;"Patoge; Verão 27; Desenvolvimento; Estilo";45
Modelagem Patoge Verão 27 (Grupo 7, 8 e 9);Modelagem dos desenhos da Patoge Verão 27. A data inicial é uma previsão, e a data final é um limite.;2025-09-15 00:00:00;2025-11-12 11:59:59;Marcelo;;"Patoge; Verão 27; Desenvolvimento; Modelagem";41
Pilotagem Patoge Verão 27 (Grupo 7, 8 e 9);Pilotagem das peças da Patoge Verão 27. A data inicial é uma previsão, e a data final é um limite.;2025-09-22 00:00:00;2025-11-19 11:59:59;Pilotagem;;"Patoge; Verão 27; Desenvolvimento; Pilotagem";41
Lavanderia Pilotos Patoge Verão 27 (Grupo 7, 8 e 9);Lavanderia das peças piloto da Patoge Verão 27. A data inicial é uma previsão, e a data final é um limite.;2025-09-29 00:00:00;2025-11-26 11:59:59;Evandro;;"Patoge; Verão 27; Desenvolvimento; Lavanderia";40
Acabamento Pilotos Patoge Verão 27 (Grupo 7, 8 e 9);Acabamento das peças piloto da Patoge Verão 27. A data inicial é uma previsão, e a data final é um limite.;2025-10-06 00:00:00;2025-12-03 11:59:59;Melissa;;"Patoge; Verão 27; Desenvolvimento; Acabamento";40
Primeira Banca Patoge Verão 27 1ª entrega (Grupo 7);Banca das peças piloto da Patoge Verão 27 1ª entrega, preferencialmente todas as peças do grupo 7;2025-11-04 00:00:00;2025-11-06 11:59:59;PCP;;"Patoge; Verão 27; Desenvolvimento; PCP; Estilo; Lavanderia";1
Segunda Banca Patoge Verão 27 1ª entrega (Grupo 8);Banca das peças piloto da Patoge Verão 27 1ª entrega, preferencialmente todas as peças do grupo 8;2025-11-25 00:00:00;2025-11-27 11:59:59;PCP;;"Patoge; Verão 27; Desenvolvimento; PCP; Estilo; Lavanderia";1
Última Banca Patoge Verão 27 1ª entrega (Grupo 9);Banca das peças piloto da Patoge Verão 27 1ª entrega, preferencialmente todas as peças do grupo 9;2026-01-13 00:00:00;2026-01-15 11:59:59;PCP;;"Patoge; Verão 27; Desenvolvimento; PCP; Estilo; Lavanderia";1
Liberação Mostruário Patoge Verão 27 (Grupo 7, 8 e 9);Liberação das peças de mostruário da Patoge Verão 27 grupo 07, 08 e 09. A data inicial é uma previsão, e a data final é um limite.;2025-11-11 00:00:00;2026-02-12 11:59:59;PCP;;"Patoge; Verão 27; Desenvolvimento; PCP; Mostruário";48
Corte Mostruário 1ª entrega Patoge Verão 27;"Corte Mostruário 1ª entrega Patoge Verão 27; A data inicial é uma previsão, e a data final é um limite.";2025-11-18 00:00:00;2026-02-27 11:59:59;Produção;;"Patoge; Verão 27; Mostruário; Corte";52
